,id,bedrooms,beds,accommodates,latitude,longitude,number_of_reviews,review_scores_rating,host_identity_verified,host_is_superhost,reviews_per_month,host_listings_count,amenities_count,instant_bookable,reviews_per_month,predicted_price
3957,8395119,5.0,5.0,8,52.35231,4.8974199999999986,53,97.0,1,1,0.87,1.0,37,0,0.87,454.75076
4803,10152802,3.0,3.0,6,52.35727,4.9375300000000015,0,0.0,1,0,0.0,1.0,11,0,0.0,234.35976
18401,44351450,0.0,1.0,2,52.38177,4.86136,4,100.0,0,0,1.58,0.0,9,1,1.58,88.6343
15290,34087222,1.0,1.0,2,52.38343,4.87852,4,90.0,1,0,0.23,1.0,9,1,0.23,115.08174
12797,26087538,2.0,2.0,4,52.37936,4.85621,21,99.0,1,0,0.78,1.0,32,0,0.78,173.48524
7345,14921988,1.0,1.0,2,52.35728,4.89726,6,93.0,0,0,0.12,1.0,20,1,0.12,170.1606
12846,26224849,1.0,1.0,3,52.35393,4.9238800000000005,6,87.0,1,0,0.22,1.0,19,0,0.22,129.15906
6222,13346972,1.0,1.0,2,52.37219,4.88054,1,100.0,0,0,0.02,1.0,9,1,0.02,148.71635
2487,5437847,1.0,1.0,2,52.37628,4.88025,183,99.0,1,1,2.73,1.0,37,1,2.73,121.905235
4964,10662701,2.0,2.0,4,52.31535,4.98112,4,93.0,0,0,0.07,1.0,10,0,0.07,126.488884
6263,13391316,4.0,3.0,4,52.35313,4.9280599999999986,2,100.0,0,0,0.04,1.0,11,0,0.04,208.25432
8158,16504708,1.0,1.0,2,52.37546,4.8685800000000015,6,97.0,0,0,0.15,1.0,24,0,0.15,142.6202
2655,5884996,1.0,1.0,2,52.35428,4.8856,9,98.0,1,1,0.51,1.0,27,0,0.51,162.39323
12572,25319557,2.0,5.0,6,52.3904,4.92989,20,97.0,1,0,0.69,2.0,38,0,0.69,219.60446
15359,34349941,1.0,2.0,3,52.36886,4.88044,12,88.0,1,0,0.75,7.0,12,1,0.75,159.51097
1068,2071122,4.0,5.0,4,52.36272,4.87045,11,96.0,1,0,0.14,1.0,28,0,0.14,325.79996
4149,8820770,1.0,1.0,1,52.31985,4.94369,0,0.0,0,0,0.0,1.0,7,0,0.0,95.370834
2957,6435304,4.0,6.0,5,52.34938,4.9355699999999985,2,100.0,0,0,0.03,1.0,10,0,0.03,212.3277
17581,41449864,1.0,1.0,2,52.34279,4.9055,4,100.0,0,0,0.52,1.0,19,1,0.52,111.761116
13859,29147326,1.0,1.0,2,52.38897,4.88787,16,91.0,1,0,0.76,7.0,28,1,0.76,131.92494
8322,16878608,1.0,1.0,2,52.34959,4.8548800000000005,27,95.0,1,0,0.61,1.0,26,1,0.61,112.25277
2365,5023777,1.0,1.0,2,52.39107,4.8817900000000005,27,98.0,1,0,0.48,1.0,15,0,0.48,117.05053
18189,43828123,2.0,1.0,2,52.36674,4.9027,2,100.0,1,0,0.91,0.0,14,0,0.91,168.71106
14889,32604803,1.0,1.0,2,52.36421,4.8670800000000005,3,100.0,1,0,0.17,1.0,13,0,0.17,135.98007
1028,1971204,1.0,1.0,2,52.3741,4.89184,0,0.0,0,0,0.0,1.0,9,0,0.0,154.73827
3385,7239681,1.0,1.0,2,52.37035,4.91621,37,86.0,1,0,0.59,1.0,17,0,0.59,122.51986
16224,37212122,1.0,1.0,2,52.3712,4.85963,7,97.0,1,0,0.5,0.0,13,0,0.5,116.11561
9165,18558833,3.0,2.0,3,52.35549,4.9238300000000015,5,100.0,0,0,0.15,1.0,39,0,0.15,220.5829
7819,15893276,1.0,1.0,2,52.35302,4.8483,6,100.0,0,0,0.21,1.0,14,0,0.21,126.366066
13891,29258934,0.0,1.0,2,52.36122,4.97921,58,93.0,0,1,2.46,1.0,19,1,2.46,64.12464
16164,36997620,2.0,2.0,4,52.38805,4.88919,4,100.0,1,0,0.38,2.0,24,0,0.38,205.44485
6965,14171624,2.0,2.0,3,52.37649,4.8512,24,94.0,0,0,0.47,1.0,17,0,0.47,126.38127
12486,25043554,1.0,1.0,2,52.33117,4.86995,7,97.0,1,0,0.24,1.0,28,1,0.24,99.84556
14072,29874862,10.0,20.0,16,52.39956,4.8968099999999986,18,98.0,0,1,0.86,2.0,28,0,0.86,525.8808
3243,6961986,1.0,1.0,2,52.35237,4.890630000000002,27,93.0,1,0,1.04,1.0,20,0,1.04,123.72403
7349,14927770,2.0,2.0,4,52.37422,4.82065,56,95.0,1,0,1.31,1.0,27,1,1.31,120.35852
3730,7864783,1.0,1.0,2,52.3815,4.86836,53,97.0,1,1,0.86,1.0,27,0,0.86,126.862785
170,445660,2.0,3.0,3,52.36903,4.8560300000000005,398,96.0,1,0,3.88,2.0,10,1,3.88,139.42175
8582,17535833,1.0,1.0,2,52.36573,4.87138,17,93.0,0,0,0.49,1.0,13,0,0.49,128.26529
9258,18728035,1.0,2.0,3,52.36396,4.94386,9,89.0,0,0,0.23,1.0,10,0,0.23,132.10037
12435,24914093,4.0,3.0,4,52.4175,4.8997199999999985,1,0.0,1,0,0.06,1.0,10,0,0.06,156.7683
5402,11832824,1.0,2.0,2,52.37689,4.91125,7,89.0,1,0,0.13,5.0,9,1,0.13,136.78227
15427,34581149,2.0,2.0,4,52.35582,4.90154,16,98.0,1,1,0.94,1.0,23,1,0.94,253.87335
4536,9621792,1.0,1.0,2,52.37138,4.85835,0,0.0,1,0,0.0,1.0,13,0,0.0,120.91681
13017,26730637,1.0,1.0,2,52.35035,4.93966,11,96.0,1,0,0.4,1.0,12,1,0.4,96.63441
16332,37614789,1.0,1.0,2,52.35953,4.93992,1,100.0,1,0,0.1,0.0,21,0,0.1,129.74388
14966,32894403,1.0,1.0,2,52.35513,4.91072,10,86.0,0,0,0.55,2.0,12,1,0.55,103.57282
13653,28447710,1.0,1.0,2,52.39511,4.90551,28,91.0,1,0,1.16,1.0,26,1,1.16,85.09637
6462,13617662,2.0,2.0,4,52.36443,4.86942,43,98.0,1,0,0.83,0.0,30,0,0.83,247.33173
5608,12279864,1.0,1.0,2,52.37125,4.8857300000000015,2,100.0,1,0,0.04,1.0,12,0,0.04,152.90773
7392,15030690,0.0,1.0,2,52.38369,4.89008,25,88.0,1,0,0.57,19.0,13,1,0.57,102.029274
10209,20162728,2.0,2.0,4,52.34202,4.8933800000000005,11,96.0,0,0,0.31,1.0,37,1,0.31,248.36491
17845,42373359,1.0,1.0,1,52.32693,4.94727,2,0.0,1,0,0.26,1.0,13,1,0.26,55.977478
10902,21472174,3.0,5.0,4,52.38332,4.89098,55,99.0,1,0,1.58,1.0,30,1,1.58,232.64856
5927,12951891,4.0,5.0,4,52.36182,4.85392,2,90.0,0,0,0.04,1.0,13,0,0.04,221.45546
18064,43282793,2.0,2.0,4,52.30631,4.95314,11,95.0,1,1,3.11,0.0,24,0,3.11,80.62548
12359,24720349,3.0,3.0,4,52.35117,4.94531,6,83.0,1,0,0.21,1.0,40,0,0.21,211.46962
17021,39914987,2.0,2.0,4,52.37174,4.87323,3,100.0,1,1,0.3,1.0,22,0,0.3,237.10614
12877,26296385,1.0,1.0,3,52.36225,4.8655800000000005,14,96.0,0,0,0.51,1.0,9,0,0.51,139.61089
5911,12919271,3.0,4.0,3,52.38024,4.83761,13,87.0,1,0,0.25,1.0,17,0,0.25,112.628876
17121,40171565,1.0,1.0,4,52.34077,4.89308,3,100.0,1,0,0.28,1.0,24,0,0.28,188.00406
2630,5832006,3.0,3.0,4,52.35531,4.86811,38,97.0,1,1,0.57,2.0,28,0,0.57,256.75787
11139,21860642,0.0,1.0,2,52.35714,4.89314,0,0.0,0,0,0.0,1.0,13,1,0.0,120.38491
1025,1964479,3.0,2.0,4,52.38688,4.91953,2,100.0,1,0,0.06,1.0,14,0,0.06,196.68861
5682,12464945,3.0,6.0,6,52.35864,4.86011,8,83.0,1,0,0.15,1.0,7,0,0.15,292.39597
13374,27616752,1.0,1.0,2,52.38264,4.8796300000000015,16,91.0,0,0,0.66,1.0,18,1,0.66,135.958
13837,29088090,1.0,1.0,2,52.35375,4.99868,36,97.0,0,1,2.13,1.0,29,0,2.13,79.82126
17083,40078744,0.0,2.0,4,52.3596,4.89555,39,94.0,1,0,3.7,0.0,25,0,3.7,129.81816
7708,15669848,3.0,4.0,4,52.35843,4.90338,11,98.0,1,0,0.24,1.0,31,0,0.24,303.88193
3624,7682924,1.0,1.0,2,52.35282,4.84974,12,98.0,0,0,0.19,1.0,17,0,0.19,134.22865
3242,6960768,2.0,3.0,3,52.37045,4.93912,4,100.0,1,0,0.06,1.0,18,0,0.06,173.53691
8758,17940371,1.0,1.0,2,52.36222,4.86634,19,99.0,1,0,0.45,2.0,12,0,0.45,124.95046
13361,27566540,2.0,3.0,4,52.36408,4.881480000000002,10,100.0,1,0,0.41,21.0,18,1,0.41,304.11844
14582,31311888,2.0,3.0,4,52.36617,4.91449,2,80.0,0,0,0.1,2.0,11,0,0.1,173.13487
10890,21443538,1.0,2.0,4,52.35632,4.88934,0,0.0,1,0,0.0,1.0,11,1,0.0,215.55043
18519,44741345,2.0,2.0,4,52.37535,4.94122,0,0.0,0,0,0.0,0.0,23,1,0.0,188.37
8042,16328199,1.0,1.0,2,52.36251,4.91288,8,100.0,1,0,0.18,1.0,7,1,0.18,125.2786
1459,3076872,2.0,2.0,2,52.35836,4.87629,16,93.0,1,0,0.21,1.0,44,0,0.21,218.18852
3787,7979739,1.0,1.0,2,52.35468,4.8998,18,93.0,0,0,0.29,1.0,12,1,0.29,138.83043
5820,12771199,1.0,2.0,3,52.34074,4.91937,27,94.0,0,0,0.51,1.0,23,1,0.51,132.64098
15641,35371894,1.0,1.0,2,52.37187,4.93158,1,100.0,0,0,0.07,1.0,10,0,0.07,127.551346
9955,19805790,2.0,2.0,4,52.33827,4.87155,0,0.0,1,0,0.0,1.0,16,0,0.0,197.05772
4134,8788403,1.0,2.0,2,52.356,4.91409,5,96.0,1,0,0.08,1.0,6,0,0.08,107.49285
6561,13727606,2.0,2.0,4,52.37395,4.86487,0,0.0,0,0,0.0,1.0,10,1,0.0,213.31474
6752,13926236,1.0,0.0,2,52.36367,4.89085,119,97.0,1,0,2.47,5.0,17,1,2.47,118.25832
10605,20962766,0.0,1.0,1,52.37767,4.88839,0,0.0,1,0,0.0,1.0,6,1,0.0,85.505165
15131,33445330,1.0,1.0,2,52.36657,4.87635,19,99.0,1,1,1.06,1.0,28,0,1.06,151.36603
9059,18384273,1.0,1.0,2,52.36607,4.87361,27,99.0,1,1,0.65,1.0,24,1,0.65,134.7336
17779,42155249,3.0,2.0,4,52.33821,4.91929,0,0.0,1,0,0.0,0.0,15,0,0.0,195.25691
2622,5818385,2.0,1.0,2,52.353,4.91014,23,97.0,1,0,0.36,1.0,21,0,0.36,158.65648
3644,7719516,1.0,1.0,2,52.35517,4.99716,5,100.0,1,0,0.09,3.0,3,0,0.09,88.92691
10134,20041284,2.0,2.0,3,52.37584,4.83902,3,93.0,0,0,0.08,1.0,21,0,0.08,120.06316
12920,26441631,3.0,3.0,4,52.37195,4.97042,0,0.0,1,0,0.0,3.0,10,0,0.0,188.06276
18434,44424435,1.0,1.0,2,52.34967,4.90549,0,0.0,1,0,0.0,100.0,25,1,0.0,171.80363
16403,37883269,1.0,1.0,2,52.39575,4.87903,0,0.0,0,0,0.0,0.0,9,1,0.0,116.00445
17979,42766595,1.0,0.0,1,52.36551,4.87631,0,0.0,0,0,0.0,0.0,12,1,0.0,114.73296
12658,25643074,2.0,2.0,3,52.38321,4.87404,7,97.0,1,0,0.25,10.0,26,1,0.25,203.89168
1386,2934419,1.0,1.0,2,52.37198,4.87144,6,100.0,1,0,0.1,1.0,10,1,0.1,130.14293
17842,42368920,1.0,1.0,2,52.361,4.87467,4,95.0,1,1,1.29,20.0,24,0,1.29,129.53294
12204,24298830,2.0,2.0,4,52.34658,4.90307,4,95.0,0,0,0.14,1.0,12,0,0.14,193.904
3009,6537510,1.0,1.0,2,52.36805,4.85586,82,94.0,1,0,1.28,1.0,18,0,1.28,118.15096
15595,35269059,1.0,1.0,2,52.36505,4.92515,19,99.0,0,1,1.19,1.0,22,0,1.19,115.661705
6217,13337449,3.0,6.0,4,52.4145,4.88405,12,87.0,0,0,0.23,1.0,10,0,0.23,151.20847
4290,9135417,1.0,1.0,2,52.34853,4.87649,66,97.0,0,1,2.85,1.0,20,0,2.85,86.79938
5559,12178294,1.0,1.0,2,52.35469000000001,4.8333,25,91.0,0,0,0.46,1.0,0,1,0.46,71.44144
4680,9932727,1.0,1.0,2,52.36093,4.85522,0,0.0,0,0,0.0,1.0,10,0,0.0,128.07843
13111,26942866,0.0,1.0,2,52.37383,4.85917,88,95.0,1,1,3.28,1.0,11,0,3.28,81.13559
13254,27311667,1.0,1.0,2,52.31941,4.98241,47,97.0,1,1,1.77,2.0,24,0,1.77,64.10754
16353,37716092,1.0,2.0,2,52.32629,4.8785,7,86.0,1,0,0.53,1.0,21,1,0.53,70.00689
7847,15935071,1.0,1.0,2,52.37104,4.84912,22,99.0,0,0,0.47,1.0,18,0,0.47,114.1683
8170,16538401,1.0,1.0,2,52.35574,4.86345,15,100.0,0,1,0.35,1.0,21,0,0.35,133.31493
18398,44346196,0.0,1.0,2,52.37088,4.900930000000002,0,0.0,0,0,0.0,1.0,8,0,0.0,119.37902
11246,22028962,1.0,1.0,1,52.35069,4.91938,2,90.0,1,0,0.07,1.0,16,0,0.07,97.74213
5872,12850633,2.0,3.0,4,52.35393,4.92011,13,94.0,0,0,0.25,1.0,14,0,0.25,170.07722
8305,16851694,0.0,1.0,2,52.36634,4.87413,12,87.0,1,0,0.28,1.0,16,0,0.28,129.16681
709,1303104,2.0,2.0,4,52.37632,4.88011,28,99.0,0,0,0.33,2.0,14,0,0.33,222.46365
17226,40461718,1.0,2.0,4,52.36808,4.9468,0,0.0,1,1,0.0,6.0,30,1,0.0,167.06877
16742,39127281,3.0,4.0,4,52.38172,4.8842300000000005,3,80.0,1,0,0.25,17.0,17,1,0.25,313.13425
10148,20053144,2.0,1.0,4,52.37352,4.87899,0,0.0,0,0,0.0,1.0,12,0,0.0,237.71931
4043,8601253,1.0,1.0,2,52.36245,4.92705,25,90.0,1,0,0.42,100.0,17,1,0.42,149.89662
6538,13706153,1.0,1.0,2,52.36939,4.8567300000000015,10,87.0,1,0,0.19,1.0,6,0,0.19,99.14656
9344,18864783,0.0,1.0,2,52.37653,4.84387,9,96.0,0,0,0.22,1.0,11,0,0.22,91.49093
18336,44167950,0.0,0.0,2,52.36381,4.88121,7,86.0,1,0,2.41,21.0,14,1,2.41,56.575058
5140,11178448,1.0,2.0,2,52.35749000000001,4.85803,101,99.0,1,1,1.83,3.0,22,1,1.83,102.565544
1811,3776698,2.0,2.0,4,52.34741,4.9051800000000005,2,70.0,0,0,0.04,1.0,11,1,0.04,197.16852
11629,22764927,1.0,1.0,2,52.37782,4.8496,8,95.0,0,0,0.25,1.0,24,0,0.25,110.27833
4759,10080772,1.0,1.0,2,52.35434,4.85381,13,95.0,0,0,0.22,1.0,18,0,0.22,136.61607
9162,18555863,2.0,3.0,4,52.35342,4.88341,36,99.0,1,0,0.89,1.0,25,1,0.89,263.72855
6451,13610296,1.0,1.0,3,52.35255,4.89126,77,91.0,1,0,1.48,1.0,39,0,1.48,171.92952
11918,23574507,1.0,1.0,2,52.35907,4.8990300000000016,136,96.0,1,1,4.42,2.0,31,0,4.42,84.48183
16845,39377872,2.0,2.0,3,52.38107,4.8869099999999985,3,87.0,0,0,0.27,40.0,8,0,0.27,164.50465
10042,19908210,2.0,3.0,4,52.35584,4.78675,4,100.0,0,0,0.1,1.0,16,0,0.1,122.939186
2276,4844569,1.0,1.0,2,52.37358,4.94393,20,100.0,1,0,0.3,1.0,15,0,0.3,116.523735
3,27886,1.0,1.0,2,52.38761,4.8918800000000005,219,99.0,1,1,2.05,1.0,23,1,2.05,126.3775
8450,17244240,1.0,1.0,2,52.37155,4.89053,29,97.0,1,0,0.65,1.0,13,0,0.65,152.46379
12884,26311849,1.0,1.0,2,52.3697,4.8582,4,95.0,0,0,0.15,2.0,19,0,0.15,124.742455
5017,10830812,1.0,1.0,2,52.36394,4.93802,3,87.0,0,0,0.05,1.0,13,0,0.05,123.23449
14797,32234956,1.0,2.0,4,52.36572,4.90899,2,70.0,1,0,0.26,15.0,29,1,0.26,219.62057
9498,19105622,3.0,3.0,3,52.37384,4.94618,7,100.0,1,0,0.17,1.0,20,0,0.17,194.10818
6444,13601323,3.0,3.0,4,52.34311,4.89554,22,95.0,1,0,0.42,1.0,42,0,0.42,268.18787
6384,13537718,1.0,1.0,2,52.37809,4.87293,3,93.0,0,0,0.06,1.0,12,0,0.06,123.90771
6312,13456146,1.0,1.0,3,52.33111,4.88019,2,100.0,1,0,0.04,2.0,12,1,0.04,100.0884
4583,9722581,3.0,3.0,4,52.36927,4.88685,88,94.0,1,0,1.57,1.0,21,0,1.57,253.42195
7297,14820944,1.0,1.0,2,52.37098,4.8768,13,98.0,1,1,0.26,2.0,4,0,0.26,126.22058
5992,13052236,1.0,1.0,2,52.36636,4.88131,86,97.0,1,0,1.62,3.0,25,1,1.62,169.13997
2145,4543149,1.0,1.0,2,52.3644,4.86554,50,99.0,0,0,0.71,1.0,14,0,0.71,123.64535
18453,44499786,2.0,2.0,4,52.32486,4.86883,3,93.0,1,0,1.48,0.0,10,0,1.48,121.74967
17323,40633366,2.0,2.0,4,52.37446,4.904730000000002,5,92.0,1,1,1.52,0.0,27,0,1.52,198.4304
1306,2747704,3.0,4.0,6,52.37296,4.845269999999998,62,95.0,1,0,0.81,1.0,34,0,0.81,256.62625
9515,19137838,1.0,1.0,2,52.37857,4.85646,10,96.0,0,0,0.25,1.0,10,0,0.25,99.401405
7266,14758478,1.0,1.0,2,52.35831,4.92326,3,93.0,0,0,0.07,1.0,13,0,0.07,123.13808
16805,39299321,1.0,1.0,1,52.37693,4.8540800000000015,4,100.0,1,0,0.45,1.0,10,0,0.45,89.588455
2151,4555659,3.0,3.0,4,52.37819,4.85087,51,96.0,0,0,0.71,1.0,8,0,0.71,156.5887
2413,5150785,1.0,2.0,4,52.37181,4.8768699999999985,0,0.0,1,0,0.0,1.0,6,0,0.0,189.51106
8900,18172219,1.0,1.0,2,52.35829,4.9241,6,73.0,0,0,0.14,1.0,10,0,0.14,108.441025
18483,44589660,1.0,1.0,2,52.35621,4.90081,0,0.0,1,0,0.0,1.0,16,0,0.0,145.76016
8382,17012996,2.0,1.0,4,52.37408,4.86245,17,99.0,0,0,0.39,1.0,33,0,0.39,206.11807
5857,12824747,1.0,1.0,2,52.35604,4.92232,9,98.0,1,0,0.17,1.0,25,0,0.17,136.62798
12945,26519083,1.0,1.0,2,52.36842,4.88223,75,96.0,1,0,2.73,2.0,19,1,2.73,119.63064
14158,30123898,1.0,2.0,3,52.35356,4.89968,5,95.0,1,0,0.23,1.0,23,0,0.23,178.56532
17930,42622054,1.0,0.0,2,52.3715,4.88076,0,0.0,0,0,0.0,0.0,9,0,0.0,142.15573
17116,40166365,2.0,2.0,4,52.3488,4.84937,0,0.0,1,0,0.0,1.0,10,0,0.0,182.01978
12081,23984081,3.0,2.0,5,52.35805,4.8024,6,100.0,0,0,0.2,1.0,13,0,0.2,161.65958
12717,25859560,2.0,4.0,2,52.39668,4.90452,3,93.0,1,0,0.12,1.0,30,0,0.12,140.19814
13309,27455279,2.0,2.0,4,52.34913,4.85009,8,90.0,0,0,0.37,1.0,12,1,0.37,173.39018
2317,4911386,3.0,3.0,4,52.36366,4.92635,26,94.0,0,0,0.37,1.0,15,0,0.37,187.4323
3587,7592195,1.0,1.0,2,52.37938,4.8144800000000005,8,100.0,1,0,0.13,1.0,25,1,0.13,88.876656
11718,23030108,2.0,2.0,3,52.3548,4.9215300000000015,2,100.0,1,0,0.07,1.0,14,0,0.07,159.80214
2643,5859999,1.0,1.0,2,52.37979,4.87079,49,94.0,0,1,0.74,1.0,27,0,0.74,129.83388
16072,36714762,0.0,1.0,2,52.35694,4.84973,1,100.0,0,0,0.07,0.0,7,1,0.07,101.38657
4889,10434645,1.0,2.0,2,52.36843,4.85723,14,97.0,0,0,0.25,1.0,11,0,0.25,108.45567
9349,18870935,1.0,1.0,2,52.35823,4.91823,15,99.0,1,0,0.38,1.0,19,0,0.38,131.1005
5870,12849339,1.0,1.0,2,52.37278,4.88471,2,100.0,1,0,0.04,1.0,10,0,0.04,146.32478
4940,10582829,4.0,6.0,4,52.41321,4.90873,1,100.0,1,0,0.02,1.0,20,0,0.02,168.77089
2870,6290045,2.0,2.0,3,52.34618,4.87167,14,99.0,1,0,0.21,1.0,10,0,0.21,146.24554
5194,11342014,1.0,1.0,2,52.36166,4.92795,12,100.0,0,0,0.23,1.0,13,0,0.23,123.46789
7188,14566624,1.0,1.0,2,52.38096,4.87673,27,99.0,0,1,0.66,1.0,18,0,0.66,126.28901
13775,28922236,1.0,1.0,2,52.3731,4.86254,13,100.0,1,0,0.54,1.0,22,0,0.54,134.37529
17729,41972410,1.0,0.0,1,52.37095,4.93149,0,0.0,1,0,0.0,0.0,11,0,0.0,104.07702
7530,15333414,1.0,2.0,3,52.37119000000001,4.92243,47,92.0,1,0,0.98,1.0,32,0,0.98,156.5859
13662,28497508,2.0,2.0,4,52.35577,4.9020199999999985,35,95.0,1,1,1.42,3.0,30,1,1.42,262.31497
18443,44458650,2.0,4.0,4,52.36951,4.86972,0,0.0,0,0,0.0,0.0,12,1,0.0,245.13771
8912,18191221,1.0,1.0,2,52.38029,4.85157,49,98.0,1,0,1.21,2.0,26,0,1.21,102.48867
17108,40151719,2.0,2.0,4,52.36374,4.90407,2,100.0,1,0,0.24,1.0,20,0,0.24,239.14467
18195,43841747,1.0,1.0,4,52.37243,4.87777,10,94.0,1,0,3.09,11.0,11,1,3.09,144.25569
293,660856,4.0,6.0,4,52.35526,4.93451,34,96.0,1,0,0.36,1.0,34,0,0.36,264.2718
13164,27083342,1.0,1.0,1,52.30619,4.98194,8,100.0,1,0,0.49,2.0,31,1,0.49,78.46
403,791621,4.0,3.0,4,52.3511,4.84638,4,87.0,1,0,0.04,2.0,6,0,0.04,184.64587
5278,11547019,1.0,1.0,2,52.35231,4.88288,27,93.0,1,0,0.51,1.0,10,0,0.51,115.039024
13371,27602112,1.0,1.0,2,52.35793,4.91404,13,95.0,1,0,0.5,2.0,13,1,0.5,121.380714
9807,19614073,1.0,1.0,2,52.36578,4.86764,9,93.0,1,0,0.24,1.0,7,1,0.24,99.24862
7229,14667779,1.0,1.0,2,52.35711,4.92543,4,80.0,1,0,0.08,1.0,15,0,0.08,108.77698
4187,8914322,1.0,1.0,2,52.35261,4.8838599999999985,3,87.0,0,0,0.05,2.0,6,0,0.05,114.718765
8827,18063005,1.0,1.0,2,52.35052,4.84777,2,100.0,1,0,0.05,1.0,12,1,0.05,92.82018
14604,31380902,2.0,4.0,4,52.3737,4.85901,4,100.0,0,0,0.21,1.0,24,0,0.21,186.89919
962,1838751,0.0,1.0,2,52.37543,4.87716,86,94.0,1,0,1.02,0.0,12,1,1.02,109.346214
2219,4721743,1.0,1.0,2,52.37665,4.88246,375,97.0,1,1,6.96,2.0,28,1,6.96,57.70468
13579,28202039,1.0,2.0,2,52.3613,4.89277,58,98.0,1,1,2.31,2.0,14,1,2.31,107.59228
14627,31481840,2.0,3.0,3,52.35696,4.93187,10,98.0,1,0,0.47,1.0,23,0,0.47,158.66574
7032,14272591,1.0,1.0,2,52.34363,4.89421,41,87.0,0,0,0.81,1.0,17,1,0.81,103.24998
2813,6173902,1.0,1.0,2,52.36422,4.85221,19,94.0,0,0,0.5,0.0,24,0,0.5,129.94862
10425,20582373,1.0,1.0,2,52.31704000000001,4.98595,82,97.0,1,1,2.24,1.0,20,0,2.24,57.23625
2523,5560161,2.0,4.0,4,52.3705,4.86879,24,97.0,0,0,0.47,1.0,19,0,0.47,210.94362
11018,21659062,1.0,1.0,2,52.35357,4.90295,0,0.0,1,0,0.0,1.0,21,0,0.0,142.09169
14583,31322005,1.0,1.0,2,52.3728,4.875769999999998,8,95.0,1,1,0.46,9.0,20,0,0.46,142.75284
7241,14706627,1.0,2.0,4,52.35691,4.90042,153,96.0,1,1,3.06,3.0,32,0,3.06,161.49507
17665,41783364,0.0,1.0,2,52.40476,4.92506,0,0.0,1,1,0.0,20.0,20,1,0.0,70.905205
16455,38120389,1.0,2.0,3,52.37607,4.88786,0,0.0,0,0,0.0,0.0,14,1,0.0,209.2188
6235,13369758,0.0,1.0,2,52.37512,4.84544,24,99.0,1,0,0.47,1.0,14,0,0.47,98.758354
6172,13294936,2.0,2.0,4,52.37326,4.85265,11,96.0,1,0,0.21,1.0,25,0,0.21,166.82993
6377,13529756,4.0,4.0,5,52.374,4.88776,24,98.0,1,1,0.47,1.0,28,0,0.47,390.1448
14795,32234666,1.0,1.0,2,52.36573,4.9096199999999985,2,100.0,1,0,0.29,15.0,28,1,0.29,180.08144
7058,14313251,1.0,1.0,4,52.38196,4.7923800000000005,197,99.0,1,1,3.88,1.0,31,1,3.88,90.066605
17458,40995518,0.0,2.0,3,52.35101,4.90241,1,100.0,1,0,1.0,1.0,14,0,1.0,108.29311
2013,4237825,2.0,1.0,2,52.35081,4.89465,12,100.0,1,0,0.17,1.0,40,0,0.17,209.53218
4394,9346390,3.0,3.0,3,52.3945,4.94007,1,100.0,0,0,0.02,1.0,14,0,0.02,144.78731
8059,16342515,0.0,1.0,2,52.3699,4.89278,27,93.0,0,0,0.75,35.0,0,1,0.75,51.831505
11474,22426509,1.0,1.0,2,52.37194,4.8476,0,0.0,0,0,0.0,2.0,10,0,0.0,105.898796
4254,9075972,1.0,1.0,2,52.38148,4.86889,43,97.0,1,0,0.72,1.0,24,0,0.72,126.23838
16222,37210442,2.0,2.0,4,52.3848,4.86102,0,0.0,0,0,0.0,1.0,17,1,0.0,209.22139
8857,18114729,1.0,12.0,10,52.35266,5.00651,68,97.0,1,1,1.67,2.0,22,0,1.67,355.5612
3554,7524051,0.0,1.0,2,52.38281,4.87475,19,86.0,1,0,0.3,1.0,7,1,0.3,99.26323
12234,24389089,4.0,6.0,7,52.34535,4.89702,18,96.0,1,0,0.68,1.0,39,0,0.68,367.59433
610,1145140,1.0,1.0,2,52.35489000000001,4.88702,25,93.0,1,0,0.53,1.0,24,0,0.53,153.42839
3213,6907368,1.0,1.0,3,52.37391,4.88141,13,96.0,0,0,0.23,1.0,7,0,0.23,158.91083
17344,40688065,1.0,1.0,2,52.3638,4.91552,1,60.0,1,0,0.1,2.0,17,1,0.1,125.230835
19,53671,1.0,1.0,2,52.38905,4.8855900000000005,309,91.0,1,0,2.67,1.0,14,1,2.67,109.02989
14177,30166337,0.0,3.0,4,52.37105,4.9110000000000005,7,83.0,1,0,0.35,8.0,23,1,0.35,164.2808
9621,19308082,3.0,4.0,4,52.35262,4.86154,3,100.0,1,0,0.08,2.0,26,0,0.08,259.03128
4165,8866137,1.0,1.0,2,52.3707,4.8584,8,93.0,1,0,0.14,1.0,10,0,0.14,103.97204
5653,12391628,1.0,1.0,3,52.37509,4.87455,1,0.0,0,0,0.02,1.0,5,0,0.02,152.01079
12610,25423601,1.0,1.0,1,52.40574,4.931019999999998,0,0.0,0,0,0.0,1.0,7,1,0.0,63.327038
2963,6447564,1.0,2.0,4,52.34947,4.89349,22,100.0,0,1,0.35,2.0,35,0,0.35,213.8655
7665,15582133,2.0,2.0,3,52.34872,4.86696,5,100.0,0,0,0.11,1.0,15,0,0.11,175.1782
2510,5514668,1.0,1.0,2,52.36159,4.94053,4,100.0,1,0,0.06,1.0,11,0,0.06,113.24772
8058,16342080,1.0,1.0,2,52.34297,4.86099,8,83.0,0,0,0.17,1.0,22,0,0.17,118.77639
9718,19470437,1.0,1.0,2,52.38057,4.87051,13,98.0,0,0,0.33,1.0,11,0,0.33,118.61993
