,id,bedrooms,beds,accommodates,latitude,longitude,number_of_reviews,review_scores_rating,host_identity_verified,host_is_superhost,reviews_per_month,host_listings_count,amenities_count,instant_bookable,reviews_per_month,predicted_price
14745,32041749,1.0,1.0,3,52.37502,4.8773,1,80.0,0,0,0.05,1.0,14,0,0.05,147.7389
14434,30881971,1.0,1.0,2,52.37975,4.8540800000000015,4,100.0,1,0,0.91,0.0,25,0,0.91,112.72646
5210,11384228,1.0,2.0,2,52.32488,4.94495,11,98.0,0,0,0.2,1.0,14,0,0.2,111.07749
104,283170,5.0,12.0,12,52.35353,4.87514,109,90.0,1,0,1.05,1.0,34,0,1.05,418.78632
15736,35724107,1.0,1.0,2,52.3552,4.895569999999998,2,100.0,1,0,0.13,1.0,30,0,0.13,187.5334
12259,24446778,1.0,1.0,2,52.35685,4.88804,17,93.0,1,0,0.56,1.0,17,0,0.56,140.17232
5527,12120703,1.0,3.0,3,52.37194,4.86576,17,98.0,1,0,0.31,1.0,26,0,0.31,162.91841
3004,6534948,1.0,1.0,1,52.37731,4.87356,3,100.0,1,1,0.32,4.0,11,0,0.32,109.07136
15200,33727546,1.0,1.0,2,52.36556,4.9290699999999985,3,93.0,0,0,0.18,1.0,23,1,0.18,137.0241
10002,19868147,3.0,3.0,4,52.39612,4.91706,3,93.0,1,0,0.08,1.0,23,0,0.08,180.05507
12729,25900962,1.0,1.0,2,52.36277000000001,4.9814,19,95.0,0,0,0.68,3.0,29,0,0.68,127.342255
12386,24766967,1.0,1.0,2,52.34715,4.88702,54,99.0,1,1,2.15,1.0,27,0,2.15,103.89116
8331,16894905,1.0,2.0,2,52.36098,4.85073,13,98.0,0,0,0.29,1.0,19,0,0.29,126.21043
15007,33008921,1.0,2.0,2,52.35588,4.88336,2,100.0,0,0,0.11,3.0,30,1,0.11,198.81581
4991,10758185,2.0,2.0,4,52.36486,4.93131,9,93.0,1,0,0.16,3.0,6,0,0.16,157.16643
3534,7496175,2.0,2.0,4,52.39157,4.9248400000000006,0,0.0,1,0,0.0,2.0,7,0,0.0,133.30556
15265,33979691,1.0,1.0,2,52.34181,4.9079,0,0.0,1,0,0.0,100.0,27,0,0.0,148.1768
3129,6775931,1.0,1.0,2,52.35122,4.86169,2,100.0,1,0,0.03,1.0,9,0,0.03,115.167595
15722,35670498,2.0,5.0,5,52.37375,4.90004,2,90.0,1,1,0.14,7.0,30,0,0.14,339.18008
11825,23333275,0.0,1.0,2,52.37773,4.88221,32,99.0,0,1,1.01,1.0,9,0,1.01,106.951866
10477,20699588,1.0,1.0,2,52.35377,4.8476,11,98.0,1,1,0.45,1.0,24,0,0.45,111.51063
17320,40631638,1.0,0.0,3,52.37600000000001,4.81203,0,0.0,0,0,0.0,0.0,10,0,0.0,106.71045
16037,36619516,1.0,1.0,2,52.36269,4.93301,8,100.0,0,0,0.62,0.0,27,1,0.62,135.13899
14719,31944954,1.0,1.0,2,52.37674000000001,4.89624,11,89.0,1,0,0.88,3.0,18,1,0.88,132.58153
10281,20270735,1.0,1.0,2,52.36434000000001,4.88087,2,100.0,1,0,0.05,1.0,8,0,0.05,139.1895
5871,12850226,1.0,2.0,2,52.30091,4.998,22,95.0,1,1,0.41,2.0,7,0,0.41,62.31027
17055,40002616,1.0,1.0,2,52.37159000000001,4.853,2,90.0,0,0,0.2,1.0,22,0,0.2,117.11649
10915,21498211,2.0,2.0,4,52.35875,4.86111,2,90.0,0,0,0.06,1.0,23,0,0.06,211.83531
2597,5748017,1.0,1.0,2,52.34209,4.90238,2,100.0,0,0,0.11,1.0,30,0,0.11,165.02475
10539,20829484,2.0,2.0,4,52.36423,4.9056,114,99.0,1,1,3.23,2.0,27,0,3.23,178.33806
8729,17887826,2.0,2.0,2,52.35475,4.93206,5,100.0,0,0,0.12,1.0,6,0,0.12,123.9717
18184,43804488,1.0,0.0,4,52.36401,4.86751,0,0.0,1,0,0.0,2.0,9,0,0.0,191.90923
4410,9377613,1.0,1.0,2,52.3724,4.84914,1,100.0,1,0,0.02,1.0,6,0,0.02,97.65639
13460,27841791,1.0,1.0,2,52.35679,4.92345,72,97.0,1,1,2.78,1.0,22,1,2.78,92.86237
14207,30231382,1.0,1.0,2,52.33795,4.91933,0,0.0,1,0,0.0,1.0,19,0,0.0,100.709785
9953,19804552,1.0,1.0,2,52.36164,4.85191,5,95.0,1,0,0.13,1.0,6,0,0.13,100.46605
5166,11253646,1.0,1.0,2,52.37758,4.85241,5,95.0,0,0,0.15,1.0,15,0,0.15,106.53625
14209,30246703,2.0,2.0,4,52.38399999999999,4.87536,0,0.0,0,0,0.0,0.0,22,0,0.0,232.4186
13722,28771992,1.0,0.0,2,52.3849,4.87248,22,96.0,1,0,1.23,1.0,27,0,1.23,127.73364
12334,24649272,1.0,1.0,2,52.36302,4.89071,3,100.0,0,0,0.1,2.0,21,0,0.1,179.4275
9237,18685482,1.0,1.0,2,52.35475,4.93194,22,95.0,0,0,0.54,1.0,22,0,0.54,129.72809
4288,9133692,1.0,1.0,2,52.35857,4.91085,0,0.0,1,0,0.0,1.0,7,0,0.0,123.45048
8910,18185348,1.0,1.0,2,52.36836,4.86422,6,80.0,1,0,0.14,1.0,8,1,0.14,91.100624
8749,17921401,1.0,2.0,2,52.36119,4.93543,2,100.0,1,0,0.05,2.0,7,0,0.05,107.71798
12583,25348531,2.0,3.0,4,52.35846,4.91121,3,93.0,0,0,0.11,1.0,30,0,0.11,209.87512
14478,30971605,2.0,2.0,4,52.37777,4.88205,3,73.0,0,0,0.22,1.0,28,1,0.22,252.1735
14890,32604818,0.0,1.0,2,52.33973,4.91972,8,91.0,0,0,0.41,1.0,9,1,0.41,62.71708
11210,21972047,2.0,1.0,2,52.34692,4.84821,5,84.0,0,0,0.19,1.0,31,1,0.19,176.1592
10144,20046915,2.0,2.0,4,52.3679,4.94352,2,100.0,1,0,0.06,1.0,8,0,0.06,165.50044
15198,33724855,2.0,2.0,4,52.35597,4.91116,2,100.0,1,0,0.11,1.0,19,0,0.11,215.2354
2917,6371658,1.0,3.0,3,52.38143,4.85506,38,97.0,1,0,0.59,1.0,16,0,0.59,107.62478
15556,35109606,1.0,1.0,2,52.39024000000001,4.879580000000002,3,100.0,1,0,0.21,2.0,9,0,0.21,118.380394
18526,44777983,1.0,0.0,2,52.35268,4.91214,1,100.0,0,0,0.88,0.0,10,0,0.88,109.38191
15982,36446570,1.0,1.0,2,52.37603,4.84989,1,100.0,1,0,0.07,1.0,13,0,0.07,103.1109
8618,17607341,2.0,2.0,4,52.38487,4.85516,28,90.0,0,0,0.65,1.0,28,0,0.65,154.12688
6270,13403483,3.0,3.0,4,52.37975,4.8799800000000015,7,74.0,0,0,0.13,1.0,8,0,0.13,223.05943
15404,34496448,1.0,1.0,2,52.35036,4.89314,8,100.0,1,0,0.49,1.0,35,0,0.49,175.93471
18567,45061006,1.0,3.0,4,52.36564,4.88702,0,0.0,0,0,0.0,0.0,30,0,0.0,217.5537
7192,14581357,1.0,1.0,2,52.34961,4.86256,6,97.0,0,0,0.12,1.0,9,0,0.12,125.43471
4070,8657220,3.0,5.0,4,52.3708,4.9412699999999985,14,100.0,1,0,0.26,2.0,29,1,0.26,277.24237
15272,34004598,4.0,3.0,4,52.34714,4.78684,0,0.0,1,0,0.0,1.0,31,0,0.0,186.32283
10511,20777080,2.0,2.0,4,52.36628,4.85329,12,97.0,1,0,0.32,1.0,17,0,0.32,176.2735
15838,36087827,2.0,2.0,4,52.38201,4.85467,1,100.0,1,0,0.07,3.0,9,0,0.07,150.94485
1086,2102217,2.0,2.0,4,52.34819,4.87766,28,81.0,1,0,0.34,2.0,16,1,0.34,203.78503
5747,12579177,1.0,2.0,2,52.37426,4.89926,151,97.0,1,0,2.8,16.0,17,0,2.8,94.00229
1202,2450249,4.0,7.0,4,52.38038,4.86895,20,93.0,0,0,0.32,2.0,20,0,0.32,233.63857
5117,11152558,1.0,4.0,4,52.3855,4.86437,252,85.0,1,0,4.44,2.0,19,1,4.44,117.12332
18288,44043348,1.0,1.0,2,52.35544,4.79787,2,100.0,1,0,0.61,1.0,27,0,0.61,104.77751
10600,20953659,2.0,4.0,4,52.35213,4.89251,30,92.0,1,0,0.88,17.0,25,1,0.88,285.31628
10641,21018846,1.0,1.0,2,52.36276,4.9342,12,96.0,0,0,0.41,1.0,18,0,0.41,129.54723
6432,13592350,0.0,1.0,2,52.37957,4.8806,2,100.0,0,0,0.04,1.0,11,0,0.04,132.2438
2617,5801757,1.0,1.0,3,52.35725,4.91564,33,95.0,0,1,0.5,1.0,19,0,0.5,141.89069
707,1299652,1.0,1.0,3,52.35581,4.88931,60,99.0,1,0,0.68,1.0,29,0,0.68,196.56026
10136,20042159,1.0,1.0,1,52.36786,4.89307,0,0.0,0,0,0.0,1.0,5,1,0.0,133.7521
17168,40325724,1.0,2.0,4,52.3623,4.85846,6,100.0,0,0,0.59,0.0,27,0,0.59,177.9109
16432,38022495,1.0,1.0,2,52.40837,4.91862,0,0.0,0,0,0.0,0.0,15,0,0.0,95.542114
2025,4264961,1.0,3.0,4,52.35143,4.9073,10,92.0,0,0,0.14,1.0,8,0,0.14,151.27974
2252,4774934,1.0,1.0,2,52.37653,4.87518,1,0.0,1,0,0.02,1.0,7,1,0.02,106.01052
12007,23801933,2.0,2.0,3,52.36441,4.8754800000000005,10,94.0,1,0,0.34,11.0,18,0,0.34,211.1103
1732,3620791,1.0,1.0,2,52.38304,4.8722,11,93.0,0,0,0.15,0.0,21,0,0.15,129.79292
17728,41972308,1.0,2.0,2,52.33664,4.93259,0,0.0,1,0,0.0,18.0,18,1,0.0,81.100876
9632,19325381,1.0,1.0,2,52.37943,4.87001,1,100.0,1,0,0.03,1.0,12,0,0.03,127.41444
14130,30041745,1.0,1.0,2,52.37133,4.85385,73,84.0,1,0,3.16,3.0,13,1,3.16,68.07935
3660,7745071,1.0,0.0,2,52.37574,4.89856,400,90.0,1,0,6.35,1.0,14,0,6.35,91.494095
1614,3381060,1.0,1.0,2,52.36173,4.92236,5,100.0,0,0,0.07,1.0,11,0,0.07,123.02372
3559,7539731,1.0,1.0,2,52.36206,4.86064,0,0.0,0,0,0.0,0.0,13,0,0.0,135.02748
14469,30952077,2.0,2.0,4,52.34426,4.91031,5,100.0,0,0,0.23,1.0,29,0,0.23,210.1876
7464,15176278,0.0,2.0,3,52.36201,4.89091,26,96.0,0,0,0.53,1.0,7,1,0.53,140.61989
2363,5019539,2.0,3.0,4,52.35123,4.91674,35,94.0,1,0,0.55,2.0,34,0,0.55,194.94801
6925,14120824,1.0,1.0,2,52.37476,4.8792300000000015,15,99.0,1,0,0.3,2.0,14,0,0.3,146.2338
8987,18278311,3.0,3.0,4,52.34869000000001,4.90931,4,85.0,1,0,0.1,1.0,16,0,0.1,237.77457
5730,12555157,2.0,3.0,4,52.3694,4.93191,2,100.0,1,0,0.04,1.0,14,0,0.04,187.39487
14482,31003481,2.0,2.0,6,52.36765,4.8785300000000005,12,98.0,0,0,0.57,1.0,26,0,0.57,292.7957
2430,5228902,1.0,1.0,4,52.3456,4.8758599999999985,0,0.0,0,0,0.0,2.0,6,0,0.0,159.64326
4041,8591687,1.0,0.0,2,52.37544000000001,4.89538,339,97.0,1,1,5.55,2.0,27,0,5.55,83.399086
17732,41981867,2.0,2.0,3,52.3711,4.89049,6,100.0,1,1,0.76,2.0,28,1,0.76,252.21779
5973,13028458,1.0,1.0,2,52.37006,4.87857,6,96.0,0,0,0.11,1.0,15,0,0.11,160.13138
8264,16746230,1.0,0.0,2,52.3723,4.88991,34,94.0,0,0,0.92,35.0,1,1,0.92,87.55452
10139,20042556,2.0,2.0,4,52.34159,4.90491,0,0.0,1,0,0.0,1.0,14,0,0.0,196.58127
16915,39644426,1.0,2.0,4,52.3812,4.89222,4,100.0,1,0,0.36,1.0,30,1,0.36,201.78322
5010,10809128,1.0,1.0,2,52.39637000000001,4.91735,6,100.0,1,0,0.14,1.0,18,0,0.14,98.16739
8983,18270441,2.0,2.0,4,52.36047,4.8536800000000015,14,100.0,1,0,0.34,1.0,29,0,0.34,193.02628
16951,39736833,1.0,1.0,2,52.3841,4.8794900000000005,2,100.0,1,0,0.21,1.0,13,1,0.21,135.28415
13381,27629065,0.0,1.0,2,52.365,4.87742,6,97.0,1,0,0.39,1.0,15,0,0.39,134.39682
12882,26300298,1.0,1.0,2,52.3854,4.87617,16,93.0,1,0,0.58,1.0,23,1,0.58,119.91844
9376,18909861,2.0,2.0,3,52.34612,4.86752,1,100.0,0,0,0.04,1.0,20,0,0.04,181.39207
18338,44167967,0.0,1.0,2,52.36412,4.87988,5,92.0,1,0,2.11,21.0,17,1,2.11,82.22576
324,702894,2.0,4.0,4,52.37435,4.84636,85,97.0,1,1,0.87,2.0,27,0,0.87,176.25587
6401,13549633,1.0,1.0,2,52.3618,4.86362,4,100.0,1,0,0.08,1.0,8,0,0.08,115.72898
