,beds,accommodates,price
214,1.0,2,$50.00
215,3.0,4,"$1,750.00"
216,1.0,2,$80.00
217,2.0,2,$107.00
218,2.0,4,$120.00
219,1.0,2,$180.00
220,4.0,4,$195.00
221,2.0,3,$150.00
222,1.0,2,$140.00
223,2.0,2,$83.00
224,1.0,2,$70.00
225,2.0,3,$65.00
226,2.0,4,$150.00
227,1.0,2,$125.00
228,2.0,2,$206.00
229,7.0,4,$245.00
230,4.0,5,$225.00
231,1.0,2,$107.00
232,2.0,4,$94.00
233,3.0,4,$300.00
234,2.0,3,$280.00
235,1.0,2,$105.00
236,1.0,2,$165.00
237,1.0,2,$100.00
238,3.0,5,$170.00
239,4.0,4,$230.00
240,6.0,6,$360.00
241,2.0,4,$110.00
242,2.0,4,$100.00
243,5.0,6,$250.00
244,1.0,2,$85.00
245,3.0,5,$120.00
246,1.0,3,$120.00
247,4.0,4,$140.00
248,0.0,4,$330.00
249,1.0,2,$50.00
250,2.0,4,$430.00
251,1.0,2,$200.00
252,1.0,2,$150.00
253,4.0,2,$150.00
254,1.0,2,$170.00
255,1.0,2,$60.00
256,2.0,4,$232.00
257,1.0,2,$85.00
258,1.0,2,$25.00
259,2.0,3,$235.00
260,2.0,4,$450.00
261,5.0,5,$275.00
262,2.0,2,$140.00
263,1.0,2,$70.00
264,1.0,2,$150.00
265,1.0,2,$55.00
266,4.0,5,$150.00
267,2.0,2,$135.00
268,0.0,2,$189.00
269,1.0,2,$125.00
270,1.0,2,$125.00
271,4.0,4,$109.00
272,1.0,2,$140.00
273,1.0,2,$79.00
274,2.0,4,$105.00
275,1.0,2,$101.00
276,1.0,2,$120.00
277,1.0,2,$58.00
278,1.0,2,$139.00
279,3.0,2,$110.00
280,1.0,2,$104.00
281,1.0,2,$150.00
282,0.0,2,$95.00
283,0.0,2,$120.00
284,1.0,2,$115.00
285,1.0,2,$79.00
286,5.0,9,$210.00
287,1.0,2,$140.00
288,1.0,2,$86.00
289,1.0,2,$71.00
290,2.0,4,$150.00
291,2.0,4,$160.00
292,0.0,1,$31.00
293,6.0,4,$325.00
294,2.0,4,$163.00
295,2.0,4,$350.00
296,1.0,2,$87.00
297,2.0,4,$139.00
298,2.0,2,$120.00
299,1.0,2,$146.00
300,1.0,2,$147.00
301,1.0,2,$174.00
302,1.0,2,$129.00
303,1.0,2,$190.00
304,3.0,3,$150.00
305,1.0,2,$69.00
306,2.0,4,$100.00
307,1.0,2,$150.00
308,1.0,2,$295.00
309,2.0,2,$200.00
310,1.0,2,$46.00
311,2.0,2,$53.00
312,2.0,3,$108.00
313,1.0,2,$120.00
314,2.0,3,$213.00
315,2.0,4,$250.00
316,2.0,2,$95.00
317,1.0,2,$71.00
318,4.0,4,$120.00
319,1.0,2,$98.00
320,0.0,3,$95.00
321,2.0,4,$175.00
322,1.0,2,$90.00
323,1.0,2,$136.00
324,4.0,4,$240.00
325,1.0,2,$150.00
326,4.0,4,$132.00
327,1.0,2,$219.00
328,1.0,2,$110.00
329,10.0,4,$275.00
330,1.0,2,$90.00
331,1.0,2,$311.00
332,1.0,2,$121.00
333,1.0,2,$149.00
334,1.0,2,$99.00
335,1.0,2,$130.00
336,1.0,2,$120.00
337,1.0,2,$110.00
338,3.0,4,$156.00
339,2.0,3,$72.00
340,1.0,2,$149.00
341,1.0,2,$108.00
342,4.0,4,$249.00
343,1.0,2,$250.00
344,1.0,2,$85.00
345,1.0,2,$145.00
346,1.0,2,$75.00
347,0.0,2,$65.00
348,1.0,2,$99.00
349,2.0,4,$299.00
350,2.0,4,$150.00
351,4.0,2,$120.00
352,4.0,6,$40.00
353,1.0,1,$99.00
354,2.0,3,$111.00
355,3.0,4,$359.00
356,2.0,3,$175.00
357,24.0,10,$206.00
358,2.0,2,$150.00
359,2.0,4,$149.00
360,2.0,4,$149.00
361,2.0,4,$149.00
362,2.0,4,$149.00
363,1.0,2,$116.43
364,1.0,2,$100.00
365,1.0,4,$130.00
366,1.0,1,$60.00
367,2.0,4,$219.00
368,1.0,2,$149.00
369,3.0,4,$145.00
370,2.0,2,$110.00
371,1.0,2,$89.00
372,1.0,4,$100.00
373,2.0,4,$235.00
374,2.0,4,$353.00
375,5.0,6,$225.00
376,2.0,2,$180.00
377,0.0,2,$90.00
378,4.0,4,$228.00
379,1.0,1,$41.00
380,0.0,2,$221.00
381,1.0,2,$109.00
382,2.0,4,$135.00
383,6.0,6,$250.00
384,1.0,2,$58.00
385,1.0,2,$55.00
386,1.0,2,$130.00
387,1.0,2,$66.00
388,1.0,2,$85.00
389,2.0,2,$120.00
390,1.0,2,$110.00
391,32.0,16,$80.00
392,3.0,3,$176.00
393,0.0,2,$159.00
394,2.0,4,$165.00
395,1.0,3,$118.00
396,3.0,4,$399.00
397,1.0,3,$164.00
398,1.0,2,$118.00
399,3.0,4,$150.00
400,1.0,2,$110.00
401,2.0,4,$125.00
402,3.0,5,$282.00
403,3.0,4,$99.00
404,3.0,4,$125.00
405,1.0,2,$80.00
406,1.0,2,$131.00
407,1.0,2,$75.00
408,2.0,4,$175.00
409,1.0,2,$150.00
410,0.0,4,$150.00
411,2.0,3,$150.00
412,1.0,2,$54.00
413,2.0,2,$282.00
414,2.0,3,$349.00
415,3.0,4,$250.00
416,3.0,4,$200.00
417,1.0,2,$132.00
418,1.0,2,$151.00
419,1.0,2,$63.00
420,1.0,2,$122.00
421,1.0,2,$85.00
422,2.0,4,$239.00
423,3.0,4,$193.00
424,2.0,4,$100.00
425,1.0,2,$60.00
426,3.0,3,$150.00
427,4.0,4,$200.00
428,2.0,2,$125.00
429,1.0,2,$115.00
430,6.0,4,$180.00
431,1.0,2,$85.00
432,2.0,4,$207.00
433,1.0,2,$79.00
434,2.0,4,$306.00
435,2.0,4,$300.00
436,5.0,4,$150.00
437,1.0,2,$165.00
438,1.0,2,$190.00
439,2.0,4,$103.00
440,2.0,4,$800.00
441,4.0,4,$182.00
442,1.0,2,$180.00
443,1.0,2,$109.00
444,2.0,4,$312.00
445,1.0,2,$175.00
446,3.0,4,$110.00
447,1.0,2,$80.00
448,2.0,4,$180.00
449,1.0,2,$110.00
450,1.0,2,$164.00
451,1.0,2,$135.00
